Vds,Vgs,Id
2.43,0.0,2.4373347516687464e-12
2.44,0.0,2.447334751668746e-12
2.45,0.0,2.457334751668746e-12
2.46,0.0,2.4673347516687457e-12
2.47,0.0,2.4773347516687454e-12
2.48,0.0,2.487334751668745e-12
2.49,0.0,2.497334751668745e-12
2.5,0.0,2.5073347516687447e-12
2.5100000000000002,0.0,2.5173347516687444e-12
2.52,0.0,2.5273347516687442e-12
2.5300000000000002,0.0,2.537334751668744e-12
2.54,0.0,2.5473347516687437e-12
2.5500000000000003,0.0,2.557334751668744e-12
2.56,0.0,2.5673347516687436e-12
2.57,0.0,2.5773347516687434e-12
2.58,0.0,2.587334751668743e-12
2.59,0.0,2.597334751668743e-12
2.6,0.0,2.6073347516687427e-12
2.61,0.0,2.6173347516687424e-12
2.62,0.0,2.627334751668742e-12
2.63,0.0,2.637334751668742e-12
2.64,0.0,2.6473347516687417e-12
2.65,0.0,2.6573347516687414e-12
2.66,0.0,2.667334751668741e-12
2.67,0.0,2.677334751668741e-12
2.68,0.0,2.687334751668741e-12
2.69,0.0,2.697334751668741e-12
2.7,0.0,2.7073347516687406e-12
2.71,0.0,2.7173347516687404e-12
2.72,0.0,2.72733475166874e-12
2.73,0.0,2.73733475166874e-12
2.74,0.0,2.7473347516687396e-12
2.75,0.0,2.7573347516687394e-12
2.7600000000000002,0.0,2.767334751668739e-12
2.77,0.0,2.777334751668739e-12
2.7800000000000002,0.0,2.7873347516687387e-12
2.79,0.0,2.7973347516687384e-12
2.8000000000000003,0.0,2.807334751668738e-12
2.81,0.0,2.8173347516687383e-12
2.82,0.0,2.827334751668738e-12
2.83,0.0,2.837334751668738e-12
2.84,0.0,2.8473347516687376e-12
2.85,0.0,2.8573347516687373e-12
2.86,0.0,2.867334751668737e-12
2.87,0.0,2.877334751668737e-12
2.88,0.0,2.8873347516687366e-12
2.89,0.0,2.8973347516687364e-12
2.9,0.0,2.907334751668736e-12
2.91,0.0,2.917334751668736e-12
2.92,0.0,2.9273347516687356e-12
2.93,0.0,2.9373347516687354e-12
2.94,0.0,2.9473347516687355e-12
2.95,0.0,2.9573347516687353e-12
2.96,0.0,2.967334751668735e-12
2.97,0.0,2.977334751668735e-12
2.98,0.0,2.9873347516687346e-12
2.99,0.0,2.9973347516687343e-12
3.0,0.0,3.007334751668734e-12
3.0100000000000002,0.0,3.017334751668734e-12
3.02,0.0,3.0273347516687336e-12
3.0300000000000002,0.0,3.0373347516687333e-12
3.04,0.0,3.047334751668733e-12
3.0500000000000003,0.0,3.057334751668733e-12
3.06,0.0,3.0673347516687326e-12
3.0700000000000003,0.0,3.0773347516687328e-12
3.08,0.0,3.0873347516687325e-12
3.09,0.0,3.0973347516687323e-12
3.1,0.0,3.107334751668732e-12
3.11,0.0,3.1173347516687318e-12
3.12,0.0,3.1273347516687315e-12
3.13,0.0,3.1373347516687313e-12
3.14,0.0,3.147334751668731e-12
3.15,0.0,3.157334751668731e-12
3.16,0.0,3.1673347516687306e-12
3.17,0.0,3.1773347516687303e-12
3.18,0.0,3.18733475166873e-12
3.19,0.0,3.19733475166873e-12
3.2,0.0,3.20733475166873e-12
3.21,0.0,3.2173347516687298e-12
3.22,0.0,3.2273347516687295e-12
